Atoms. Timestep: 0
0 1.262038 0.100111 1.263158
0 1.878262 0.085160 1.263158
0 2.367301 0.061872 1.263158
0 2.681283 0.032528 1.263158
Atoms. Timestep: 9
0 1.710526 0.000000 1.421053
0 1.601047 0.691222 1.421053
0 1.283327 1.314783 1.421053
0 0.788467 1.809643 1.421053
0 0.164906 2.127363 1.421053
0 -0.526316 2.236842 1.421053
0 -1.217538 2.127363 1.421053
0 -1.841099 1.809643 1.421053
0 -2.335959 1.314783 1.421053
0 -2.653679 0.691222 1.421053
0 -1.710526 0.000000 1.421053
0 -1.601047 -0.040660 1.421053
0 -1.283327 -0.077340 1.421053
0 -0.788467 -0.106450 1.421053
0 -0.164906 -0.125139 1.421053
0 0.526316 -0.131579 1.421053
0 1.217538 -0.125139 1.421053
0 1.841099 -0.106450 1.421053
0 2.335959 -0.077340 1.421053
0 2.653679 -0.040660 1.421053
Atoms. Timestep: 10
0 1.789474 0.000000 1.578947
0 1.678707 0.699354 1.578947
0 1.357249 1.330251 1.578947
0 0.856567 1.830933 1.578947
0 0.225670 2.152391 1.578947
0 -0.473684 2.263158 1.578947
0 -1.173038 2.152391 1.578947
0 -1.803935 1.830933 1.578947
0 -2.304617 1.330251 1.578947
0 -2.626075 0.699354 1.578947
0 -1.789474 0.000000 1.578947
0 -1.678707 -0.113848 1.578947
0 -1.357249 -0.216552 1.578947
0 -0.856567 -0.298059 1.578947
0 -0.225670 -0.350389 1.578947
0 0.473684 -0.368421 1.578947
0 1.173038 -0.350389 1.578947
0 1.803935 -0.298059 1.578947
0 2.304617 -0.216552 1.578947
0 2.626075 -0.113848 1.578947
Atoms. Timestep: 11
0 1.868421 0.000000 1.736842
0 1.756366 0.707486 1.736842
0 1.431170 1.345719 1.736842
0 0.924666 1.852223 1.736842
0 0.286434 2.177419 1.736842
0 -0.421053 2.289474 1.736842
0 -1.128539 2.177419 1.736842
0 -1.766771 1.852223 1.736842
0 -2.273276 1.345719 1.736842
0 -2.598471 0.707486 1.736842
0 -1.868421 0.000000 1.736842
0 -1.756366 -0.187037 1.736842
0 -1.431170 -0.355765 1.736842
0 -0.924666 -0.489668 1.736842
0 -0.286434 -0.575639 1.736842
0 0.421053 -0.605263 1.736842
0 1.128539 -0.575639 1.736842
0 1.766771 -0.489668 1.736842
0 2.273276 -0.355765 1.736842
0 2.598471 -0.187037 1.736842
Atoms. Timestep: 12
0 1.947368 0.000000 1.894737
0 1.834026 0.715618 1.894737
0 1.505092 1.361187 1.894737
0 0.992766 1.873513 1.894737
0 0.347197 2.202447 1.894737
0 -0.368421 2.315789 1.894737
0 -1.084039 2.202447 1.894737
0 -1.729608 1.873513 1.894737
0 -2.241934 1.361187 1.894737
0 -2.570868 0.715618 1.894737
0 -1.947368 0.000000 1.894737
0 -1.834026 -0.260225 1.894737
0 -1.505092 -0.494977 1.894737
0 -0.992766 -0.681277 1.894737
0 -0.347197 -0.800890 1.894737
0 0.368421 -0.842105 1.894737
0 1.084039 -0.800890 1.894737
0 1.729608 -0.681277 1.894737
0 2.241934 -0.494977 1.894737
0 2.570868 -0.260225 1.894737
Atoms. Timestep: 13
0 2.026316 0.000000 2.052632
0 1.911685 0.723750 2.052632
0 1.579013 1.376655 2.052632
0 1.060865 1.894803 2.052632
0 0.407961 2.227474 2.052632
0 -0.315789 2.342105 2.052632
0 -1.039540 2.227474 2.052632
0 -1.692444 1.894803 2.052632
0 -2.210592 1.376655 2.052632
0 -2.543264 0.723750 2.052632
0 -2.026316 0.000000 2.052632
0 -1.911685 -0.333413 2.052632
0 -1.579013 -0.634189 2.052632
0 -1.060865 -0.872887 2.052632
0 -0.407961 -1.026140 2.052632
0 0.315789 -1.078947 2.052632
0 1.039540 -1.026140 2.052632
0 1.692444 -0.872887 2.052632
0 2.210592 -0.634189 2.052632
0 2.543264 -0.333413 2.052632
Atoms. Timestep: 14
0 2.105263 0.000000 2.210526
0 1.989344 0.731882 2.210526
0 1.652935 1.392123 2.210526
0 1.128965 1.916093 2.210526
0 0.468724 2.252502 2.210526
0 -0.263158 2.368421 2.210526
0 -0.995040 2.252502 2.210526
0 -1.655281 1.916093 2.210526
0 -2.179251 1.392123 2.210526
0 -2.515660 0.731882 2.210526
0 -2.105263 0.000000 2.210526
0 -1.989344 -0.406601 2.210526
0 -1.652935 -0.773402 2.210526
0 -1.128965 -1.064496 2.210526
0 -0.468724 -1.251390 2.210526
0 0.263158 -1.315789 2.210526
0 0.995040 -1.251390 2.210526
0 1.655281 -1.064496 2.210526
0 2.179251 -0.773402 2.210526
0 2.515660 -0.406601 2.210526
Atoms. Timestep: 15
0 2.184211 0.000000 2.368421
0 2.067004 0.740014 2.368421
0 1.726856 1.407591 2.368421
0 1.197065 1.937383 2.368421
0 0.529488 2.277530 2.368421
0 -0.210526 2.394737 2.368421
0 -0.950541 2.277530 2.368421
0 -1.618117 1.937383 2.368421
0 -2.147909 1.407591 2.368421
0 -2.488056 0.740014 2.368421
0 -2.184211 0.000000 2.368421
0 -2.067004 -0.479790 2.368421
0 -1.726856 -0.912614 2.368421
0 -1.197065 -1.256105 2.368421
0 -0.529488 -1.476640 2.368421
0 0.210526 -1.552632 2.368421
0 0.950541 -1.476640 2.368421
0 1.618117 -1.256105 2.368421
0 2.147909 -0.912614 2.368421
0 2.488056 -0.479790 2.368421
Atoms. Timestep: 16
0 2.263158 0.000000 2.526316
0 2.144663 0.748146 2.526316
0 1.800778 1.423059 2.526316
0 1.265164 1.958673 2.526316
0 0.590252 2.302558 2.526316
0 -0.157895 2.421053 2.526316
0 -0.906041 2.302558 2.526316
0 -1.580954 1.958673 2.526316
0 -2.116567 1.423059 2.526316
0 -2.460453 0.748146 2.526316
0 -2.263158 0.000000 2.526316
0 -2.144663 -0.552978 2.526316
0 -1.800778 -1.051826 2.526316
0 -1.265164 -1.447715 2.526316
0 -0.590252 -1.701891 2.526316
0 0.157895 -1.789474 2.526316
0 0.906041 -1.701891 2.526316
0 1.580954 -1.447715 2.526316
0 2.116567 -1.051826 2.526316
0 2.460453 -0.552978 2.526316
Atoms. Timestep: 17
0 2.342105 0.000000 2.684211
0 2.222323 0.756278 2.684211
0 1.874699 1.438527 2.684211
0 1.333264 1.979963 2.684211
0 0.651015 2.327586 2.684211
0 -0.105263 2.447368 2.684211
0 -0.861542 2.327586 2.684211
0 -1.543790 1.979963 2.684211
0 -2.085226 1.438527 2.684211
0 -2.432849 0.756278 2.684211
0 -2.342105 0.000000 2.684211
0 -2.222323 -0.626166 2.684211
0 -1.874699 -1.191039 2.684211
0 -1.333264 -1.639324 2.684211
0 -0.651015 -1.927141 2.684211
0 0.105263 -2.026316 2.684211
0 0.861542 -1.927141 2.684211
0 1.543790 -1.639324 2.684211
0 2.085226 -1.191039 2.684211
0 2.432849 -0.626166 2.684211
Atoms. Timestep: 18
0 2.421053 0.000000 2.842105
0 2.299982 0.764410 2.842105
0 1.948621 1.453995 2.842105
0 1.401364 2.001253 2.842105
0 0.711779 2.352613 2.842105
0 -0.052632 2.473684 2.842105
0 -0.817042 2.352613 2.842105
0 -1.506627 2.001253 2.842105
0 -2.053884 1.453995 2.842105
0 -2.405245 0.764410 2.842105
0 -2.421053 0.000000 2.842105
0 -2.299982 -0.699354 2.842105
0 -1.948621 -1.330251 2.842105
0 -1.401364 -1.830933 2.842105
0 -0.711779 -2.152391 2.842105
0 0.052632 -2.263158 2.842105
0 0.817042 -2.152391 2.842105
0 1.506627 -1.830933 2.842105
0 2.053884 -1.330251 2.842105
0 2.405245 -0.699354 2.842105
Atoms. Timestep: 19
0 2.500000 0.000000 3.000000
0 2.377641 0.772542 3.000000
0 2.022542 1.469463 3.000000
0 1.469463 2.022542 3.000000
0 0.772542 2.377641 3.000000
0 0.000000 2.500000 3.000000
0 -0.772542 2.377641 3.000000
0 -1.469463 2.022542 3.000000
0 -2.022542 1.469463 3.000000
0 -2.377641 0.772542 3.000000
0 -2.500000 0.000000 3.000000
0 -2.377641 -0.772542 3.000000
0 -2.022542 -1.469463 3.000000
0 -1.469463 -2.022542 3.000000
0 -0.772542 -2.377641 3.000000
0 -0.000000 -2.500000 3.000000
0 0.772542 -2.377641 3.000000
0 1.469463 -2.022542 3.000000
0 2.022542 -1.469463 3.000000
0 2.377641 -0.772542 3.000000
